"Opcodes";"Fields";"Description"
"vco2ft";"kfn [vco2ft] kcps, iwave [, inyx]";"a table number at k-time for a given oscillator frequency and wavform."
"vco2ift";"ifn [vco2ift] icps, iwave [, inyx]";"a table number at i-time for a given oscillator frequency and wavform."
"vco2init";"ifn [vco2init] iwave [, ibasfn] [, ipmul] [, iminsiz] [, imaxsiz] [, isrcft]";"tables for use by vco2 opcode."
"vcomb";"ares [vcomb] asig, krvt, xlpt, imaxlpt [, iskip] [, insmps]";"reverberates an input signal with a"
"vcopy";"[vcopy]ifn, ifn2, kelements [, kdstoffset] [, ksrcoffset] [, kverbose]";"Copies between two vectorial control signals"
"vcopy_i";"[vcopy_i]ifn, ifn2, ielements [,idstoffset, isrcoffset]";"a vector from one table to another."
"vdel_k";"(Syntax not available)";"(Description not available)"
"vdelay";"ares [vdelay] asig, adel, imaxdel [, iskip]";"interpolating variable time delay."
"vdelay3";"ares [vdelay3] asig, adel, imaxdel [, iskip]";"variable time delay with cubic interpolation."
"vdelayk";"kout [vdelayk]iksig, kdel, imaxdel [, iskip, imode]";"k-rate variable time delay."
"vdelayx";"aout [vdelayx] ain, adl, imd, iws [, ist]";"variable delay opcode with high quality interpolation."
"vdelayxq";"aout1, aout2, aout3, aout4 [vdelayxq] ain1, ain2, ain3, ain4, adl, imd, iws [, ist]";"4-channel variable delay opcode with high quality interpolation."
"vdelayxs";"aout1, aout2 [vdelayxs] ain1, ain2, adl, imd, iws [, ist]";"stereo variable delay opcode with high quality interpolation."
"vdelayxw";"aout [vdelayxw] ain, adl, imd, iws [, ist]";"delay opcodes with high quality interpolation."
"vdelayxwq";"aout1, aout2, aout3, aout4 [vdelayxwq] ain1, ain2, ain3, ain4, adl, imd, iws [, ist]";"delay opcodes with high quality interpolation."
"vdelayxws";"aout1, aout2 [vdelayxws] ain1, ain2, adl, imd, iws [, ist]";"delay opcodes with high quality interpolation."
"vdivv";"[vdivv]ifn1, ifn2, kelements [, kdstoffset] [, ksrcoffset] [,kverbose]";"Performs division between two vectorial control signals"
"vdivv_i";"[vdivv_i]ifn1, ifn2, ielements [, idstoffset] [, isrcoffset]";"division between two vectorial control signals at init time."
"vecdelay";"[vecdelay]ifn, ifnIn, ifnDel, ielements, imaxdel [, iskip]";"Vectorial Control-rate Delay Paths"
"veloc";"ival [veloc] [ilow] [, ihigh]";"the velocity from a MIDI event."
"vexp";"[vexp]ifn, kval, kelements [, kdstoffset] [, kverbose]";"Performs power-of operations between a vector and a scalar"
"vexp_i";"[vexp_i]ifn, ival, ielements[, idstoffset]";"Performs power-of operations between a vector and a scalar"
"vexpseg";"[vexpseg] ifnout, ielements, ifn1, idur1, ifn2 [, idur2, ifn3 [...]]";"Vectorial envelope generator"
"vexpv";"[vexpv]ifn1, ifn2, kelements [, kdstoffset] [, ksrcoffset] [,kverbose]";"Performs exponential operations between two vectorial control signals"
"vexpv_i";"[vexpv_i]ifn1, ifn2, ielements [, idstoffset] [, isrcoffset]";"exponential operations between two vectorial control signals at init time."
"vibes";"ares [vibes] kamp, kfreq, ihrd, ipos, imp, kvibf, kvamp, ivibfn, idec";"model related to the striking of a metal block."
"vibr";"kout [vibr] kAverageAmp, kAverageFreq, ifn";"user-controllable vibrato."
"vibrato";"kout [vibrato] kAverageAmp, kAverageFreq, kRandAmountAmp, kRandAmountFreq, kAmpMinRate, kAmpMaxRate, kcpsMinRate, kcpsMaxRate, ifn [, iphs]";"a natural-sounding user-controllable vibrato."
"vincr";"[vincr] asig, aincr";"audio signals."
"vlimit";"[vlimit]ifn, kmin, kmax, ielements";"Limiting and Wrapping Vectorial Signals"
"vlinseg";"[vlinseg] ifnout, ielements, ifn1, idur1, ifn2 [, idur2, ifn3 [...]]";"Vectorial envelope generator"
"vlowres";"ares [vlowres] asig, kfco, kres, iord, ksep";"bank of filters in which the cutoff frequency can be separated under user control."
"vmap";"[vmap]ifn1, ifn2, ielements [,idstoffset, isrcoffset]";"Maps elements from a vector according to indeces contained in another vector"
"vmirror";"[vmirror]ifn, kmin, kmax, ielements";"Limiting and Wrapping Vectorial Signals"
"vmult";"[vmult]ifn, kval, kelements [, kdstoffset] [, kverbose]";"a vector in a table by a scalar value."
"vmult_i";"[vmult_i]ifn, ival, ielements [, idstoffset]";"a vector in a table by a scalar value."
"vmultv";"[vmultv]ifn1, ifn2, kelements [, kdstoffset] [, ksrcoffset] [,kverbose]";"Performs mutiplication between two vectorial control signals"
"vmultv_i";"[vmultv_i]ifn1, ifn2, ielements [, idstoffset] [, isrcoffset]";"mutiplication between two vectorial control signals at init time."
"voice";"ares [voice] kamp, kfreq, kphoneme, kform, kvibf, kvamp, ifn, ivfn";"emulation of a human voice."
"vport";"[vport] ifn, khtime, ielements [, ifnInit]";"Vectorial Control-rate Delay Paths"
"vpow";"[vpow]ifn, kval, kelements [, kdstoffset] [, kverbose]";"Raises each element of a vector to a scalar power"
"vpow_i";"[vpow_i]ifn, ival, ielements [, idstoffset]";"Raises each element of a vector to a scalar power"
"vpowv";"[vpowv] ifn1, ifn2, kelements [, kdstoffset] [, ksrcoffset] [,kverbose]";"Performs power-of operations between two vectorial control signals"
"vpowv_i";"[vpowv_i] ifn1, ifn2, ielements [, idstoffset] [, isrcoffset]";"power-of operations between two vectorial control signals at init time."
"vpvoc";"ares [vpvoc] ktimpnt, kfmod, ifile [, ispecwp] [, ifn]";"signal reconstruction using an fft-based phase vocoder and an extra envelope."
"vrandh";"[vrandh]ifn,krange, kcps, ielements";"Generate a sort of 'vectorial band-limited noise'"
"vrandi";"[vrandi]ifn,krange, kcps, ielements";"Generate a sort of 'vectorial band-limited noise'"
"vstaudio";"aout1,aout2 [vstaudio] instance, [ain1, ain2]";"audio output."
"vstaudiog";"(Syntax not available)";"(Description not available)"
"vstbankload";"[vstbankload] instance, ipath";"parameter banks to a VST plugin."
"vstedit";"[vstedit] instance";"the GUI editor widow for a VST plugin."
"vstinfo";"[vstinfo] instance";"the parameters and the programs of a VST plugin."
"vstinit";"instance [vstinit] ilibrarypath [,iverbose]";"a VST plugin into memory for use with the other vst4cs opcodes."
"vstmidiout";"[vstmidiout] instance, kstatus, kchan, kdata1, kdata2";"MIDI information to a VST plugin."
"vstnote";"[vstnote] instance, kchan, knote, kveloc, kdur";"a MIDI note with definite duration to a VST plugin."
"vstparamget";"(Syntax not available)";"(Description not available)"
"vstparamset";"[vstparamset ]instance, kparam, kvalue";"for parameter comunication to and from a VST plugin."
"vstprogset";"[vstprogset] instance, kprogram";"parameter banks to a VST plugin."
"vsubv";"[vsubv]ifn1, ifn2, kelements [, kdstoffset] [, ksrcoffset] [,kverbose]";"Performs subtraction between two vectorial control signals"
"vsubv_i";"[vsubv_i]ifn1, ifn2, ielements [, idstoffset] [, isrcoffset]";"subtraction between two vectorial control signals at init time."
"vtaba";"[vtaba]andx, ifn, aout1 [, aout2, aout3, .... , aoutN ]";"Read vectors (from tables -or arrays of vectors)."
"vtabi";"[vtabi]indx, ifn, iout1 [, iout2, iout3, .... , ioutN ]";"Read vectors (from tables -or arrays of vectors)."
"vtabk";"[vtabk]kndx, ifn, kout1 [, kout2, kout3, .... , koutN ]";"Read vectors (from tables -or arrays of vectors)."
"vtablea";"[vtablea]andx, kfn, kinterp, ixmode, aout1 [, aout2, aout3, .... , aoutN ]";"Read vectors (from tables -or arrays of vectors)."
"vtablei";"[vtablei]indx, ifn, interp, ixmode, iout1 [, iout2, iout3, .... , ioutN ]";"Read vectors (from tables -or arrays of vectors)."
"vtablek";"[vtablek]kndx, kfn, kinterp, ixmode, kout1 [, kout2, kout3, .... , koutN ]";"Read vectors (from tables -or arrays of vectors)."
"vtablewa";"[vtablewa]andx, kfn, ixmode, ainarg1 [, ainarg2, ainarg3 , .... , ainargN ]";"Write vectors (to tables -or arrays of vectors)."
"vtablewi";"[vtablewi]indx, ifn, ixmode, inarg1 [, inarg2, inarg3 , .... , inargN ]";"Write vectors (to tables -or arrays of vectors)."
"vtablewk";"[vtablewk]kndx, kfn, ixmode, kinarg1 [, kinarg2, kinarg3 , .... , kinargN ]";"Write vectors (to tables -or arrays of vectors)."
"vtabwa";"[vtabwa]andx, ifn, ainarg1 [, ainarg2, ainarg3 , .... , ainargN ]";"Write vectors (to tables -or arrays of vectors)."
"vtabwi";"[vtabwi]indx, ifn, inarg1 [, inarg2, inarg3 , .... , inargN ]";"Write vectors (to tables -or arrays of vectors)."
"vtabwk";"[vtabwk]kndx, ifn, kinarg1 [, kinarg2, kinarg3 , .... , kinargN ]";"Write vectors (to tables -or arrays of vectors)."
"vwrap";"[vwrap]ifn, kmin, kmax, ielements";"Limiting and Wrapping Vectorial Signals"
"waveset";"ares [waveset] ain, krep [, ilen]";"simple time stretch by repeating cycles."
"weibull";"ares [weibull] ksigma, ktau";"distribution random number generator (positive values only)."
"wgbow";"ares [wgbow] kamp, kfreq, kpres, krat, kvibf, kvamp, ifn [, iminfreq]";"a tone similar to a bowed string."
"wgbowedbar";"ares [wgbowedbar] kamp, kfreq, kpos, kbowpres, kgain [, iconst] [, itvel] [, ibowpos] [, ilow]";"physical model of a bowed bar."
"wgbrass";"ares [wgbrass] kamp, kfreq, ktens, iatt, kvibf, kvamp, ifn [, iminfreq]";"a tone related to a brass instrument."
"wgclar";"ares [wgclar] kamp, kfreq, kstiff, iatt, idetk, kngain, kvibf, kvamp, ifn [, iminfreq]";"a tone similar to a clarinet."
"wgflute";"ares [wgflute] kamp, kfreq, kjet, iatt, idetk, kngain, kvibf, kvamp, ifn [, iminfreq] [, ijetrf] [, iendrf]";"a tone similar to a flute."
"wgpluck";"ares [wgpluck] icps, iamp, kpick, iplk, idamp, ifilt, axcite";"high fidelity simulation of a plucked string."
"wgpluck2";"ares [wgpluck2] iplk, kamp, icps, kpick, krefl";"model of the plucked string."
"wguide1";"ares [wguide1] asig, xfreq, kcutoff, kfeedback";"simple waveguide model consisting of one delay-line and one first-order lowpass filter."
"wguide2";"ares [wguide2] asig, xfreq1, xfreq2, kcutoff1, kcutoff2, kfeedback1, kfeedback2";"model of beaten plate consisting of two parallel delay-lines and two first-order lowpass filters."
"wrap";"ares [wrap] asig, klow, khigh";"the signal that exceeds the low and high thresholds."
"wterrain";"aout [wterrain] kamp, kpch, k_xcenter, k_ycenter, k_xradius, k_yradius, itabx, itaby";"simple wave-terrain synthesis opcode."
"xadsr";"ares [xadsr] iatt, idec, islev, irel [, idel]";"the classical ADSR envelope."
"xin";"xinarg1 [, xinarg2] ... [xinargN] [xin]";"variables from a user-defined opcode block,"
"xor";"(Syntax not available)";"(Description not available)"
"xout";"[xout] xoutarg1 [, xoutarg2] ... [, xoutargN]";"variables from a user-defined opcode block,"
"xscanmap";"kpos, kvel [xscanmap] iscan, kamp, kvamp [, iwhich]";"the position and velocity of a node in a scanned process to be read."
"xscans";"ares [xscans] kamp, kfreq, ifntraj, id [, iorder]";"scanned synthesis waveform and the wavetable generator."
"xscansmap";"[xscansmap] kpos, kvel, iscan, kamp, kvamp [, iwhich]";"the position and velocity of a node in a scanned process to be read."
"xscanu";"[xscanu] init, irate, ifnvel, ifnmass, ifnstif, ifncentr, ifndamp, kmass, kstif, kcentr, kdamp, ileft, iright, kpos, kstrngth, ain, idisp, id";"the waveform and the wavetable for use in scanned synthesis."
"xtratim";"[xtratim] iextradur";"the duration of real-time generated events."
"xyin";"kx, ky [xyin] iprd, ixmin, ixmax, iymin, iymax [, ixinit] [, iyinit]";"the cursor position in an output window"
"zacl";"[zacl] kfirst, klast";"one or more variables in the za space."
"zakinit";"[zakinit] isizea, isizek";"zak space."
"zamod";"ares [zamod] asig, kzamod";"one a-rate signal by a second one."
"zar";"ares [zar] kndx";"from a location in za space at a-rate."
"zarg";"ares [zarg] kndx, kgain";"from a location in za space at a-rate, adds some gain."
"zaw";"[zaw] asig, kndx";"to a za variable at a-rate without mixing."
"zawm";"[zawm] asig, kndx [, imix]";"to a za variable at a-rate with mixing."
"zfilter2";"ares [zfilter2] asig, kdamp, kfreq, iM, iN, ib0, ib1, ..., ibM, ia1,ia2, ..., iaN";"filtering using a transposed form-II digital filter lattice with radial pole-shearing and angular pole-warping."
"zir";"ir [zir] indx";"from a location in zk space at i-rate."
"ziw";"[ziw] isig, indx";"to a zk variable at i-rate without mixing."
"ziwm";"[ziwm] isig, indx [, imix]";"to a zk variable to an i-rate variable with mixing."
"zkcl";"[zkcl] kfirst, klast";"one or more variables in the zk space."
"zkmod";"kres [zkmod] ksig, kzkmod";"the modulation of one signal by another."
"zkr";"kres [zkr] kndx";"from a location in zk space at k-rate."
"zkw";"[zkw] ksig, kndx";"to a zk variable at k-rate without mixing."
"zkwm";"[zkwm] ksig, kndx [, imix]";"to a zk variable at k-rate with mixing."
